Date,TQQQ_BnH,TQQQ_Strategy,TQQQ_Position
2018-01-02,,0.0,0.0
2018-01-03,0.02927837253110721,0.0,0.0
2018-01-04,0.005862592247361409,0.0,0.0
2018-01-05,0.030200550881894772,0.0,0.0
2018-01-08,0.01112178664678476,0.0,0.0
2018-01-09,0.0007629996875160305,0.0,0.0
2018-01-10,-0.007115365795477446,0.0,0.0
2018-01-11,0.0200279138712689,0.0,0.0
2018-01-12,0.021203468246056678,0.0,0.0
2018-01-16,-0.00774025277408652,0.0,0.0
2018-01-17,0.03151125885826711,0.0,0.0
2018-01-18,0.0009600887502487776,0.0,0.0
2018-01-19,0.009593554692122419,0.0,0.0
2018-01-22,0.03123884171378699,0.0,0.0
2018-01-23,0.025339780841729498,0.0,0.0
2018-01-24,-0.020276305633713076,0.0,0.0
2018-01-25,-0.0012612300597878434,0.0,0.0
2018-01-26,0.04465872112754776,0.0,0.0
2018-01-29,-0.01324232985549234,0.0,0.0
2018-01-30,-0.025559672149449764,0.0,0.0
2018-01-31,0.012343481752019603,0.0,0.0
2018-02-01,-0.025006854338313844,0.0,0.0
2018-02-02,-0.06108181382907274,0.0,0.0
2018-02-05,-0.11543430555427758,0.0,0.0
2018-02-06,0.07710003514190689,0.0,0.0
2018-02-07,-0.03954462598093411,0.0,0.0
2018-02-08,-0.12392163948020551,0.0,0.0
2018-02-09,0.047073245978888734,0.0,0.0
2018-02-12,0.0559760982414117,0.0,0.0
2018-02-13,0.012173622294733066,0.0,0.0
2018-02-14,0.05855695840077901,0.0,0.0
2018-02-15,0.052265896789291055,0.0,0.0
2018-02-16,-0.011168216471292625,0.0,0.0
2018-02-20,0.004991929171344944,0.0,0.0
2018-02-21,-0.009002677461192321,0.0,0.0
2018-02-22,0.00018796530460551963,0.0,0.0
2018-02-23,0.05957146687679438,0.0,0.0
2018-02-26,0.040141709179871254,-0.0009992504996874777,1.0
2018-02-27,-0.035807460081884734,-0.035807460081884755,1.0
2018-02-28,-0.020101376599531817,-0.02010137659953187,1.0
2018-03-01,-0.04812596832287874,-0.04907760438604779,0.0
2018-03-02,0.027491452581277054,0.0,0.0
2018-03-05,0.03136918358212282,0.0,0.0
2018-03-06,0.012643109209435455,-0.0009992504996876486,1.0
2018-03-07,0.0074792474642877416,0.0074792474642876895,1.0
2018-03-08,0.014906467807773938,0.014906467807773986,1.0
2018-03-09,0.05823047375408552,0.058230473754085424,1.0
2018-03-12,0.014967596603503885,0.014967596603503996,1.0
2018-03-13,-0.03630419071577462,-0.036304190715774676,1.0
2018-03-14,-0.0033942192803467774,-0.0033942192803468234,1.0
2018-03-15,-0.004466746634536167,-0.004466746634536172,1.0
2018-03-16,-0.006618175942536331,-0.0066181759425362,1.0
2018-03-19,-0.06278210566559794,-0.06278210566559805,1.0
2018-03-20,0.007349386261944257,0.0063422887130289655,0.0
2018-03-21,-0.014471998218122395,0.0,0.0
2018-03-22,-0.07305839776375089,0.0,0.0
2018-03-23,-0.0807803166756369,0.0,0.0
2018-03-26,0.11251967590916268,0.0,0.0
2018-03-27,-0.09589036241733162,0.0,0.0
2018-03-28,-0.0344803494164152,0.0,0.0
2018-03-29,0.055363894331726504,0.0,0.0
2018-04-02,-0.08879913071798962,0.0,0.0
2018-04-03,0.03355182742178808,0.0,0.0
2018-04-04,0.04729224905209062,0.0,0.0
2018-04-05,0.015709932394254,0.0,0.0
2018-04-06,-0.07462893239349322,0.0,0.0
2018-04-09,0.020011940345894708,0.0,0.0
2018-04-10,0.06605934979501082,0.0,0.0
2018-04-11,-0.01681852993743782,0.0,0.0
2018-04-12,0.03505352093473579,0.0,0.0
2018-04-13,-0.014833614665426764,0.0,0.0
2018-04-16,0.022069702279431613,0.0,0.0
2018-04-17,0.0639711497721478,0.0,0.0
2018-04-18,0.006954656035242035,0.0,0.0
2018-04-19,-0.027186591625296685,0.0,0.0
2018-04-20,-0.04795408909172438,0.0,0.0
2018-04-23,-0.0078636843894484,0.0,0.0
2018-04-24,-0.06375131843236492,0.0,0.0
2018-04-25,0.00394118038150415,0.0,0.0
2018-04-26,0.06200902946188469,0.0,0.0
2018-04-27,0.002327338854869909,-0.0009992504996876098,1.0
2018-04-30,-0.02130693550366136,-0.02130693550366137,1.0
2018-05-01,0.032516895969965987,0.03148463720322003,0.0
2018-05-02,-0.017436303660425034,-0.0009992504996874376,1.0
2018-05-03,6.886592879684628e-05,-0.0009309529199153919,0.0
2018-05-04,0.0562588445655694,0.0,0.0
2018-05-07,0.023766078282477787,-0.000999250499687676,1.0
2018-05-08,-0.003307382691700722,-0.003307382691700734,1.0
2018-05-09,0.033501575475053835,0.03350157547505387,1.0
2018-05-10,0.03111849024751523,0.031118490247515174,1.0
2018-05-11,-0.002993766235750206,-0.0029937662357502714,1.0
2018-05-14,0.004444396580884247,0.004444396580884256,1.0
2018-05-15,-0.0323486565377058,-0.03234865653770577,1.0
2018-05-16,0.01841419284774437,0.017396033258444927,0.0
2018-05-17,-0.01128564281118305,-0.0009992504996876178,1.0
2018-05-18,-0.016017276597712016,-0.016017276597711867,1.0
2018-05-21,0.01746310815765395,0.016445899415273336,0.0
2018-05-22,-0.0052102992685605365,-0.0009992504996874658,1.0
2018-05-23,0.025140099360912327,0.02514009936091219,1.0
2018-05-24,-0.0008414576102979687,-0.000841457610297899,1.0
2018-05-25,0.0025265711671027535,0.002526571167102755,1.0
2018-05-29,-0.012781259967531988,-0.012781259967532004,1.0
2018-05-30,0.02133472741860909,0.021334727418609173,1.0
2018-05-31,-0.002142413104572416,-0.0021424131045725,1.0
2018-06-01,0.04652000029283321,0.04652000029283321,1.0
2018-06-04,0.025645425465273153,0.025645425465273288,1.0
2018-06-05,0.010334980994237464,0.010334980994237443,1.0
2018-06-06,0.016498894701789224,0.01649889470178917,1.0
2018-06-07,-0.023210426708828003,-0.02321042670882792,1.0
2018-06-08,-0.0006646979467085368,-0.0006646979467085815,1.0
2018-06-11,0.007815062247491733,0.007815062247491712,1.0
2018-06-12,0.015838912440301556,0.015838912440301577,1.0
2018-06-13,-0.0011368304328379653,-0.0011368304328379535,1.0
2018-06-14,0.030406488241165208,0.030406488241165274,1.0
2018-06-15,-0.009941548490559171,-0.009941548490559218,1.0
2018-06-18,-0.002231580129186561,-0.002231580129186557,1.0
2018-06-19,-0.008945644072019365,-0.008945644072019351,1.0
2018-06-20,0.020954311210241938,0.020954311210241983,1.0
2018-06-21,-0.025891983571184385,-0.02589198357118439,1.0
2018-06-22,-0.01004861446341232,-0.010048614463412375,1.0
2018-06-25,-0.0638508169714117,-0.0638508169714117,1.0
2018-06-26,0.01101783796335587,0.011017837963356028,1.0
2018-06-27,-0.04013126199434158,-0.040131261994341694,1.0
2018-06-28,0.024508766344454758,0.023484513705302003,0.0
2018-06-29,0.004573401452777404,-0.0009992504996873613,1.0
2018-07-02,0.022412688646047174,0.02241268864604711,1.0
2018-07-03,-0.03442344220819504,-0.034423442208195106,1.0
2018-07-05,0.03671512178691727,0.0367151217869172,1.0
2018-07-06,0.044995789590715374,0.04499578959071529,1.0
2018-07-09,0.027832292888823718,0.027832292888823686,1.0
2018-07-10,0.0023892591513934303,0.002389259151393416,1.0
2018-07-11,-0.014619338238232915,-0.01461933823823278,1.0
2018-07-12,0.04934675118971721,0.049346751189717174,1.0
2018-07-13,0.0029201670984848604,0.002920167098484914,1.0
2018-07-16,-0.0067425174265604015,-0.006742517426560404,1.0
2018-07-17,0.018512830830157867,0.018512830830158054,1.0
2018-07-18,-0.006361708278654232,-0.006361708278654356,1.0
2018-07-19,-0.014786538087117496,-0.01478653808711751,1.0
2018-07-20,-0.0013925331646768013,-0.001392533164676838,1.0
2018-07-23,0.008676685099932469,0.00867668509993249,1.0
2018-07-24,0.012749856582213948,0.01274985658221403,1.0
2018-07-25,0.0417109071854147,0.04171090718541466,1.0
2018-07-26,-0.0436809200063033,-0.04368092000630323,1.0
2018-07-27,-0.041717478244135076,-0.04171747824413515,1.0
2018-07-30,-0.043057054708297016,-0.043057054708296946,1.0
2018-07-31,0.01992378967794628,0.019923789677946224,1.0
2018-08-01,0.013674164966959834,0.01367416496695981,1.0
2018-08-02,0.03982653195321628,0.039826531953216227,1.0
2018-08-03,0.00895762243550191,0.008957622435501857,1.0
2018-08-06,0.018368245410978146,0.018368245410978024,1.0
2018-08-07,0.009769978205999008,0.009769978205999145,1.0
2018-08-08,0.002679232088016903,0.0026792320880168813,1.0
2018-08-09,-0.0008905321909462582,-0.0008905321909461873,1.0
2018-08-10,-0.02332843304731902,-0.0233284330473191,1.0
2018-08-13,-0.0028906621652259323,-0.0028906621652259137,1.0
2018-08-14,0.01846203864871554,0.018462038648715512,1.0
2018-08-15,-0.036404439121038745,-0.03640443912103874,1.0
2018-08-16,0.009172735610500693,0.009172735610500544,1.0
2018-08-17,-0.00015400355159878032,-0.00015400355159867748,1.0
2018-08-20,-0.00200309624485584,-0.002003096244855978,1.0
2018-08-21,0.010344380175449253,0.010344380175449376,1.0
2018-08-22,0.011613766231807876,0.01161376623180779,1.0
2018-08-23,-0.004984901866220581,-0.004984901866220564,1.0
2018-08-24,0.027781832602581824,0.026754307715437478,0.0
2018-08-27,0.030132904219869916,0.0,0.0
2018-08-28,0.004445193982715923,0.0,0.0
2018-08-29,0.034975032640813586,0.0,0.0
2018-08-30,-0.005655221698965596,0.0,0.0
2018-08-31,0.00291308077433472,-0.000999250499687536,1.0
2018-09-04,-0.011895002270343569,-0.011895002270343619,1.0
2018-09-05,-0.039753360489164336,-0.03975336048916432,1.0
2018-09-06,-0.027259806429113187,-0.02725980642911325,1.0
2018-09-07,-0.009890561271062581,-0.009890561271062448,1.0
2018-09-10,0.008778782003496799,0.008778782003496896,1.0
2018-09-11,0.02220519097737772,0.022205190977377644,1.0
2018-09-12,-0.008659599139386298,-0.009650691705146465,0.0
2018-09-13,0.029611900684453518,0.0,0.0
2018-09-14,-0.00762151541966094,0.0,0.0
2018-09-17,-0.04216761019362536,0.0,0.0
2018-09-18,0.023751518985436704,0.0,0.0
2018-09-19,-0.0022165467538900474,0.0,0.0
2018-09-20,0.0313983549994854,0.0,0.0
2018-09-21,-0.01593920299492091,0.0,0.0
2018-09-24,0.008609403555796868,0.0,0.0
2018-09-25,0.0040509640786119405,0.0,0.0
2018-09-26,-0.0010085104921968568,0.0,0.0
2018-09-27,0.027693300023363676,0.0,0.0
2018-09-28,-0.001543749767058178,0.0,0.0
2018-10-01,0.005763446962157248,0.0,0.0
2018-10-02,-0.005730419990471303,0.0,0.0
2018-10-03,0.0029517563649572587,0.0,0.0
2018-10-04,-0.057042569706177715,0.0,0.0
2018-10-05,-0.03760404453423549,0.0,0.0
2018-10-08,-0.017914873159719402,0.0,0.0
2018-10-09,0.007705464653712024,0.0,0.0
2018-10-10,-0.12968170092702536,0.0,0.0
2018-10-11,-0.04052361333016763,0.0,0.0
2018-10-12,0.08447011717200925,0.0,0.0
2018-10-15,-0.037738953207607784,0.0,0.0
2018-10-16,0.0861389436008293,0.0,0.0
2018-10-17,0.003297470301371064,0.0,0.0
2018-10-18,-0.0693508115885183,0.0,0.0
2018-10-19,-0.004061252419014338,0.0,0.0
2018-10-22,0.015070854266853395,0.0,0.0
2018-10-23,-0.011004435154382541,0.0,0.0
2018-10-24,-0.13599435997378073,0.0,0.0
2018-10-25,0.10261649353016677,0.0,0.0
2018-10-26,-0.07767881690781453,0.0,0.0
2018-10-29,-0.0534673557592954,0.0,0.0
2018-10-30,0.03864933312548069,0.0,0.0
2018-10-31,0.06747089552373464,0.0,0.0
2018-11-01,0.0436698457841318,0.0,0.0
2018-11-02,-0.04477901683176477,0.0,0.0
2018-11-05,-0.009798183031511032,0.0,0.0
2018-11-06,0.021148728498543656,0.0,0.0
2018-11-07,0.09196282667284539,0.0,0.0
2018-11-08,-0.017052324651680717,0.0,0.0
2018-11-09,-0.05080574557375528,0.0,0.0
2018-11-12,-0.08784027476714029,0.0,0.0
2018-11-13,-0.0004089299273226654,0.0,0.0
2018-11-14,-0.025362714817064758,0.0,0.0
2018-11-15,0.05351496494227992,0.0,0.0
2018-11-16,-0.010956192490177652,0.0,0.0
2018-11-19,-0.09587102943669179,0.0,0.0
2018-11-20,-0.05546915407609854,0.0,0.0
2018-11-21,0.02240566528627097,0.0,0.0
2018-11-23,-0.022145342231729037,0.0,0.0
2018-11-26,0.06864852481063743,0.0,0.0
2018-11-27,0.010374961668261129,0.0,0.0
2018-11-28,0.09482223700844106,0.0,0.0
2018-11-29,-0.00917983328140659,0.0,0.0
2018-11-30,0.020946453960702494,0.0,0.0
2018-12-03,0.051292308476359016,0.0,0.0
2018-12-04,-0.10996431907975879,0.0,0.0
2018-12-06,0.014547631655309479,0.0,0.0
2018-12-07,-0.09788020164960276,0.0,0.0
2018-12-10,0.03132917828722115,0.0,0.0
2018-12-11,0.010721425540394458,0.0,0.0
2018-12-12,0.025193444023901668,0.0,0.0
2018-12-13,0.00021539895890798633,0.0,0.0
2018-12-14,-0.07543089101672873,0.0,0.0
2018-12-17,-0.064568790702341,0.0,0.0
2018-12-18,0.01669577494185348,0.0,0.0
2018-12-19,-0.07230421471601811,0.0,0.0
2018-12-20,-0.04015836546592533,0.0,0.0
2018-12-21,-0.09661441561147444,0.0,0.0
2018-12-24,-0.07403993515783314,0.0,0.0
2018-12-26,0.18158731336225697,0.0,0.0
2018-12-27,0.014221984500260021,0.0,0.0
2018-12-28,-0.004124158051861504,0.0,0.0
2018-12-31,0.02263927195274329,0.0,0.0
2019-01-02,0.014308806412671071,0.0,0.0
2019-01-03,-0.09688547076204967,0.0,0.0
2019-01-04,0.12790996682824352,0.0,0.0
2019-01-07,0.03187904411437592,0.0,0.0
2019-01-08,0.028868154228998577,0.0,0.0
2019-01-09,0.02362744209705059,0.0,0.0
2019-01-10,0.009617899138287145,-0.0009992504996874988,1.0
2019-01-11,-0.011907821615459113,-0.011907821615459195,1.0
2019-01-14,-0.02603003910192825,-0.026030039101928134,1.0
2019-01-15,0.05543180430317296,0.055431804303173036,1.0
2019-01-16,0.001406739519311584,0.0014067395193115857,1.0
2019-01-17,0.02341350467500969,0.023413504675009713,1.0
2019-01-18,0.027453882966384846,0.027453882966385006,1.0
2019-01-22,-0.05522158083455875,-0.05522158083455884,1.0
2019-01-23,0.0009427205451522092,0.0009427205451520676,1.0
2019-01-24,0.017659574608568818,0.017659574608568835,1.0
2019-01-25,0.03563146243376991,0.03563146243376983,1.0
2019-01-28,-0.036863094179024336,-0.03686309417902433,1.0
2019-01-29,-0.028299762680304763,-0.028299762680304832,1.0
2019-01-30,0.07495815915386683,0.07495815915386675,1.0
2019-01-31,0.04397068656480596,0.04397068656480599,1.0
2019-02-01,-0.01276304054426003,-0.012763040544260005,1.0
2019-02-04,0.03662982542215043,0.03662982542215047,1.0
2019-02-05,0.0263978687659705,0.026397868765970667,1.0
2019-02-06,-0.007897882586391458,-0.007897882586391498,1.0
2019-02-07,-0.040824692227424464,-0.0408246922274244,1.0
2019-02-08,0.005107337724017835,0.005107337724017677,1.0
2019-02-11,-0.0023289435571732797,-0.0023289435571732255,1.0
2019-02-12,0.04329383443243939,0.04329383443243935,1.0
2019-02-13,0.0020341146500095775,0.002034114650009662,1.0
2019-02-14,0.003653924974627243,0.0036539249746271787,1.0
2019-02-15,0.011933893991291633,0.011933893991291687,1.0
2019-02-19,0.005996386858233782,0.005996386858233721,1.0
2019-02-20,-0.0007946677033005001,-0.0007946677033005122,1.0
2019-02-21,-0.011334534248628958,-0.011334534248628892,1.0
2019-02-22,0.021721848029729207,0.020700381612161613,0.0
2019-02-25,0.011023599197133915,-0.0009992504996874684,1.0
2019-02-26,0.003115236125382559,0.003115236125382497,1.0
2019-02-27,-0.003105561567796955,-0.0031055615677968965,1.0
2019-02-28,-0.006230628246565062,-0.006230628246565151,1.0
2019-03-01,0.01998434028915841,0.01998434028915837,1.0
2019-03-04,0.0001921420148796038,0.00019214201487951973,1.0
2019-03-05,0.002496673935168836,0.0024966739351689068,1.0
2019-03-06,-0.017241412389121136,-0.017241412389121216,1.0
2019-03-07,-0.03645216103852289,-0.03741546799052462,0.0
2019-03-08,-0.005664523718871051,0.0,0.0
2019-03-11,0.06246177923990537,0.0,0.0
2019-03-12,0.016277348890394894,-0.0009992504996875601,1.0
2019-03-13,0.021669310391628116,0.021669310391628116,1.0
2019-03-14,-0.0044262966454376995,-0.004426296645437655,1.0
2019-03-15,0.024823816638988028,0.024823816638988045,1.0
2019-03-18,0.009038494125007679,0.009038494125007799,1.0
2019-03-19,0.010032225755974622,0.010032225755974594,1.0
2019-03-20,0.011532979247458552,0.011532979247458589,1.0
2019-03-21,0.04630781223944247,0.046307812239442525,1.0
2019-03-22,-0.06538145543294327,-0.06538145543294337,1.0
2019-03-25,-0.006277914682737973,-0.00627791468273784,1.0
2019-03-26,0.013718115212795645,0.013718115212795624,1.0
2019-03-27,-0.01958664984032421,-0.01958664984032427,1.0
2019-03-28,0.006356660434618133,0.006356660434618072,1.0
2019-03-29,0.022558969377075133,0.02255896937707513,1.0
2019-04-01,0.03935754444815176,0.03935754444815193,1.0
2019-04-02,0.011037710579801852,0.011037710579801853,1.0
2019-04-03,0.017299134353886192,0.01729913435388618,1.0
2019-04-04,-0.0014858558083844509,-0.001485855808384475,1.0
2019-04-05,0.01504626686837729,0.015046266868377204,1.0
2019-04-08,0.00781882285238722,0.007818822852387318,1.0
