Date,MGK_BnH,MGK_Strategy,MGK_Position
2018-01-02,,0.0,0.0
2018-01-03,0.009053319244989533,0.0,0.0
2018-01-04,0.0024625329408847207,0.0,0.0
2018-01-05,0.00886195142667634,0.0,0.0
2018-01-08,0.0029571154753549322,0.0,0.0
2018-01-09,0.0029483093943303285,0.0,0.0
2018-01-10,-0.0017290426396178171,0.0,0.0
2018-01-11,0.0070153751574530965,0.0,0.0
2018-01-12,0.006020462087312328,0.0,0.0
2018-01-16,-0.00273581215565033,0.0,0.0
2018-01-17,0.010630171293512847,0.0,0.0
2018-01-18,-0.0009334674432833756,0.0,0.0
2018-01-19,0.005519333185747488,0.0,0.0
2018-01-22,0.008527702724594244,0.0,0.0
2018-01-23,0.00577737079796159,0.0,0.0
2018-01-24,-0.003496492943886653,0.0,0.0
2018-01-25,-0.0010855984811716235,0.0,0.0
2018-01-26,0.012627228394491485,0.0,0.0
2018-01-29,-0.007267399550116571,0.0,0.0
2018-01-30,-0.008817981769373762,0.0,0.0
2018-01-31,0.0031054207511247434,0.0,0.0
2018-02-01,-0.005020027107270009,0.0,0.0
2018-02-02,-0.020181504390761273,0.0,0.0
2018-02-05,-0.03836277323759896,0.0,0.0
2018-02-06,0.021776327113181893,0.0,0.0
2018-02-07,-0.007337034470752957,0.0,0.0
2018-02-08,-0.0400352402982842,0.0,0.0
2018-02-09,0.014940434881581366,0.0,0.0
2018-02-12,0.01643666845295466,0.0,0.0
2018-02-13,0.00257650895653172,0.0,0.0
2018-02-14,0.014888283431275573,0.0,0.0
2018-02-15,0.015717785158024355,0.0,0.0
2018-02-16,-0.000859572681207843,0.0,0.0
2018-02-20,-0.0036137791023689303,0.0,0.0
2018-02-21,-0.00345425156114465,0.0,0.0
2018-02-22,0.0018195978278627845,0.0,0.0
2018-02-23,0.017039963496432664,0.0,0.0
2018-02-26,0.011736752823439112,0.0,0.0
2018-02-27,-0.014542761458583575,-0.0009992504996876232,1.0
2018-02-28,-0.009042048981287576,-0.010032759192818265,0.0
2018-03-01,-0.014375601970692764,0.0,0.0
2018-03-02,0.0049785354422695605,0.0,0.0
2018-03-05,0.011731860737388411,0.0,0.0
2018-03-06,0.0035219299896063205,0.0,0.0
2018-03-07,0.0009411608121256965,0.0,0.0
2018-03-08,0.006926675879383559,-0.0009992504996875682,1.0
2018-03-09,0.017494995473367636,0.017494995473367678,1.0
2018-03-12,0.001001137732931534,0.0010011377329316258,1.0
2018-03-13,-0.006753818216171381,-0.006753818216171393,1.0
2018-03-14,-0.0031059487241573702,-0.003105948724157469,1.0
2018-03-15,-0.0011790985675687038,-0.0021776697637755447,0.0
2018-03-16,-0.0013486953045636074,0.0,0.0
2018-03-19,-0.017222744456793615,0.0,0.0
2018-03-20,0.004552871130889979,0.0,0.0
2018-03-21,-0.003762395269649388,0.0,0.0
2018-03-22,-0.0267717307328732,0.0,0.0
2018-03-23,-0.020949432982039884,0.0,0.0
2018-03-26,0.027446735505556097,0.0,0.0
2018-03-27,-0.024604709865080898,0.0,0.0
2018-03-28,-0.005765815026787635,0.0,0.0
2018-03-29,0.01703526990789861,0.0,0.0
2018-04-02,-0.024768345407988668,0.0,0.0
2018-04-03,0.012059336330273451,0.0,0.0
2018-04-04,0.011915460182367,0.0,0.0
2018-04-05,0.008117531559014957,0.0,0.0
2018-04-06,-0.02291821460188559,0.0,0.0
2018-04-09,0.003894280725658339,0.0,0.0
2018-04-10,0.018042529135959162,0.0,0.0
2018-04-11,-0.0038105134838999355,0.0,0.0
2018-04-12,0.006849548941081585,0.0,0.0
2018-04-13,-0.0015906313173706943,0.0,0.0
2018-04-16,0.006725582162949051,0.0,0.0
2018-04-17,0.016172603634351024,0.0,0.0
2018-04-18,0.0017298710184805444,0.0,0.0
2018-04-19,-0.009929798384458732,0.0,0.0
2018-04-20,-0.011774204983941328,0.0,0.0
2018-04-23,-0.002294692834412526,0.0,0.0
2018-04-24,-0.020521692877886744,0.0,0.0
2018-04-25,0.0028899368306727347,-0.0009992504996876699,1.0
2018-04-26,0.01954055866026927,0.019540558660269425,1.0
2018-04-27,-0.001059637374854261,-0.0010596373748543524,1.0
2018-04-30,-0.0035367005762619863,-0.003536700576262038,1.0
2018-05-01,0.007187135236569775,0.007187135236569889,1.0
2018-05-02,-0.0033475794762410915,-0.0033475794762411306,1.0
2018-05-03,-0.00026523104368592065,-0.00026523104368602625,1.0
2018-05-04,0.01600329023503333,0.01600329023503351,1.0
2018-05-07,0.005482699885144493,0.005482699885144526,1.0
2018-05-08,-0.000432599306066872,-0.000432599306066875,1.0
2018-05-09,0.01082323063049695,0.01082323063049706,1.0
2018-05-10,0.009080121938255248,0.009080121938255234,1.0
2018-05-11,0.0009338179257214474,0.0009338179257214839,1.0
2018-05-14,0.00033936182080651633,0.0003393618208065113,1.0
2018-05-15,-0.009919856163491336,-0.009919856163491263,1.0
2018-05-16,0.005138050416587214,0.005138050416587208,1.0
2018-05-17,-0.0010224256477052718,-0.0010224256477052403,1.0
2018-05-18,-0.0011085685942242574,-0.0011085685942242912,1.0
2018-05-21,0.006745013754951623,0.0067450137549516665,1.0
2018-05-22,-0.004664251681773202,-0.004664251681773171,1.0
2018-05-23,0.006815722497149679,0.006815722497149556,1.0
2018-05-24,-0.0003383600938836606,-0.0003383600938836785,1.0
2018-05-25,-0.0011850439642718813,-0.0011850439642718802,1.0
2018-05-29,-0.007797474158666828,-0.007797474158666757,1.0
2018-05-30,0.010592269056440617,0.010592269056440572,1.0
2018-05-31,-0.0031275064026736743,-0.0031275064026736778,1.0
2018-06-01,0.011870722579243376,0.01187072257924341,1.0
2018-06-04,0.007624725930627463,0.007624725930627615,1.0
2018-06-05,0.002494933628464535,0.002494933628464612,1.0
2018-06-06,0.007963484704339274,0.00796348470433945,1.0
2018-06-07,-0.004361794671387531,-0.004361794671387588,1.0
2018-06-08,0.0021491286285961753,0.002149128628596141,1.0
2018-06-11,0.002639498218508507,0.0026394982185085395,1.0
2018-06-12,0.0037018213910238185,0.003701821391023832,1.0
2018-06-13,-0.0037700344075864978,-0.003770034407586535,1.0
2018-06-14,0.008062401331214275,0.008062401331214315,1.0
2018-06-15,-0.0009796165135542712,-0.0009796165135543588,1.0
2018-06-18,-0.0009800024660139295,-0.0009800024660138581,1.0
2018-06-19,-0.005724069292299294,-0.00572406929229935,1.0
2018-06-20,0.004029916023168267,0.004029916023168348,1.0
2018-06-21,-0.007044583787357506,-0.007044583787357533,1.0
2018-06-22,-8.239947947408233e-05,-8.239947947398738e-05,1.0
2018-06-25,-0.01914063856900272,-0.019140638569002708,1.0
2018-06-26,0.004962510071791604,0.003957798802347355,0.0
2018-06-27,-0.010461290910766863,0.0,0.0
2018-06-28,0.008810911162581148,0.0,0.0
2018-06-29,0.001094082593715573,0.0,0.0
2018-07-02,0.004454275694813381,-0.0009992504996875116,1.0
2018-07-03,-0.00811673485980735,-0.009108370154131115,0.0
2018-07-05,0.009955193898335324,0.0,0.0
2018-07-06,0.011527914062298805,0.0,0.0
2018-07-09,0.009001717046085433,0.0,0.0
2018-07-10,0.0024554833021972478,-0.0009992504996874788,1.0
2018-07-11,-0.005225598566222067,-0.005225598566222106,1.0
2018-07-12,0.011572830584242633,0.011572830584242796,1.0
2018-07-13,0.0016225334007269332,0.0016225334007269612,1.0
2018-07-16,-0.002349198908167982,-0.0023491989081679773,1.0
2018-07-17,0.005927433811054206,0.0059274338110540965,1.0
2018-07-18,-0.0002422884312042184,-0.00024228843120424726,1.0
2018-07-19,-0.0033101645794202383,-0.0033101645794201173,1.0
2018-07-20,-0.001133925424999016,-0.0011339254249990113,1.0
2018-07-23,0.000324300079394213,0.0003243000793942174,1.0
2018-07-24,0.005918221703885562,0.005918221703885505,1.0
2018-07-25,0.011605257596452923,0.011605257596452945,1.0
2018-07-26,-0.012189387466768009,-0.012189387466768,1.0
2018-07-27,-0.00959756104552878,-0.00959756104552886,1.0
2018-07-30,-0.011726227564478386,-0.011726227564478293,1.0
2018-07-31,0.005850180273994088,0.005850180273994094,1.0
2018-08-01,0.003522829576085851,0.003522829576085911,1.0
2018-08-02,0.008571495826595,0.008571495826595029,1.0
2018-08-03,0.002589765979387648,0.0025897659793876994,1.0
2018-08-06,0.004924633530024369,0.00492463353002444,1.0
2018-08-07,0.003052456894000022,0.0030524568940000973,1.0
2018-08-08,8.010868479191302e-05,8.010868479173104e-05,1.0
2018-08-09,-0.0010406880231553783,-0.002039397595304138,0.0
2018-08-10,-0.006734235640696751,0.0,0.0
2018-08-13,-0.0016137792341927026,0.0,0.0
2018-08-14,0.005981767761587875,0.0,0.0
2018-08-15,-0.009080499093543137,0.0,0.0
2018-08-16,0.005190100419349086,0.0,0.0
2018-08-17,0.00048418076275669186,0.0,0.0
2018-08-20,0.001370374209933578,0.0,0.0
2018-08-21,0.003060557827965882,0.0,0.0
2018-08-22,0.00216741957783384,0.0,0.0
2018-08-23,-0.001201517794494622,0.0,0.0
2018-08-24,0.007779911382248095,0.0,0.0
2018-08-27,0.008435977823435303,-0.0009992504996875636,1.0
2018-08-28,0.00047379242787082276,0.00047379242787080655,1.0
2018-08-29,0.009860103921176755,0.009860103921176743,1.0
2018-08-30,-0.002811788269027282,-0.002811788269027211,1.0
2018-08-31,0.0011747251046785312,0.0011747251046785037,1.0
2018-09-04,-0.0021126978475456415,-0.0021126978475455574,1.0
2018-09-05,-0.008781128549611217,-0.008781128549611173,1.0
2018-09-06,-0.005457942385657999,-0.005457942385657987,1.0
2018-09-07,-0.0015115322721417357,-0.0015115322721417606,1.0
2018-09-10,0.001195041661764984,0.0011950416617650382,1.0
2018-09-11,0.006523859280537669,0.006523859280537737,1.0
2018-09-12,-0.0007903220138791855,-0.0007903220138791751,1.0
2018-09-13,0.007119553723970107,0.0071195537239701545,1.0
2018-09-14,-0.0014137346968291498,-0.0014137346968291474,1.0
2018-09-17,-0.010933600666158338,-0.010933600666158417,1.0
2018-09-18,0.006998313645931287,0.006998313645931239,1.0
2018-09-19,0.0007107984269285605,0.0007107984269285798,1.0
2018-09-20,0.008286468366572208,0.008286468366572165,1.0
2018-09-21,-0.0030523034946398075,-0.0030523034946398717,1.0
2018-09-24,0.0002355900374892972,0.00023559003748917587,1.0
2018-09-25,0.003061163221590668,0.003061163221590822,1.0
2018-09-26,-0.0003134010525104314,-0.00031340105251038205,1.0
2018-09-27,0.006888755320769047,0.006888755320768874,1.0
2018-09-28,-0.00046796575163221554,-0.00046796575163215656,1.0
2018-10-01,0.00413532130703631,0.004135321307036173,1.0
2018-10-02,-0.0023311285149956174,-0.0023311285149955783,1.0
2018-10-03,0.0,0.0,1.0
2018-10-04,-0.014641803104229578,-0.014641803104229533,1.0
2018-10-05,-0.009405423196314988,-0.009405423196314941,1.0
2018-10-08,-0.0037502336429804384,-0.004746234346895906,0.0
2018-10-09,0.0012014906157826744,0.0,0.0
2018-10-10,-0.03983674865509501,0.0,0.0
2018-10-11,-0.017412500511410856,0.0,0.0
2018-10-12,0.023232164829169122,0.0,0.0
2018-10-15,-0.009694908704856564,0.0,0.0
2018-10-16,0.024767782206276623,0.0,0.0
2018-10-17,-0.0012251004766580254,0.0,0.0
2018-10-18,-0.019538829187998763,0.0,0.0
2018-10-19,-0.001417331930482657,0.0,0.0
2018-10-22,-0.00016718750937616544,0.0,0.0
2018-10-23,-0.004175635256222221,0.0,0.0
2018-10-24,-0.03622947656638131,0.0,0.0
2018-10-25,0.026888218126174923,0.0,0.0
2018-10-26,-0.023895869577481466,0.0,0.0
2018-10-29,-0.017102419205576647,0.0,0.0
2018-10-30,0.015544628866002164,0.0,0.0
2018-10-31,0.017046682689211057,0.0,0.0
2018-11-01,0.013767955935029885,0.0,0.0
2018-11-02,-0.012399726604024885,0.0,0.0
2018-11-05,-0.0009397269548865328,0.0,0.0
2018-11-06,0.00760885333023853,0.0,0.0
2018-11-07,0.027660222415911484,0.0,0.0
2018-11-08,-0.0032203345693414542,0.0,0.0
2018-11-09,-0.011844388156240115,0.0,0.0
2018-11-12,-0.027577762494959135,0.0,0.0
2018-11-13,-0.001982740990358667,0.0,0.0
2018-11-14,-0.006650572072476657,0.0,0.0
2018-11-15,0.011564568406339237,0.0,0.0
2018-11-16,-0.001977030786995404,0.0,0.0
2018-11-19,-0.029024521055472485,0.0,0.0
2018-11-20,-0.017384934567676757,0.0,0.0
2018-11-21,0.005145413708993907,0.0,0.0
2018-11-23,-0.008891150567178485,0.0,0.0
2018-11-26,0.01730736967106483,0.0,0.0
2018-11-27,0.003028245308673627,0.0,0.0
2018-11-28,0.03099193771405484,0.0,0.0
2018-11-29,-0.0007752013958954862,0.0,0.0
2018-11-30,0.007499312342921893,0.0,0.0
2018-12-03,0.0176248223521136,0.0,0.0
2018-12-04,-0.036320691540730476,-0.0009992504996875812,1.0
2018-12-06,0.003402348648996467,0.002399197150934799,0.0
2018-12-07,-0.02686683198223594,0.0,0.0
2018-12-10,0.0054499081559824525,0.0,0.0
2018-12-11,0.000977546586024225,0.0,0.0
2018-12-12,0.007723680400213873,0.0,0.0
2018-12-13,8.837241489811909e-05,0.0,0.0
2018-12-14,-0.02184672002892385,0.0,0.0
2018-12-17,-0.02188368718641187,-0.000999250499687575,1.0
2018-12-18,0.004695715417001534,0.003691270875513451,0.0
2018-12-19,-0.01933655644337684,0.0,0.0
2018-12-20,-0.018409477826359044,0.0,0.0
2018-12-21,-0.029132139169561255,0.0,0.0
2018-12-24,-0.023039574895526216,0.0,0.0
2018-12-26,0.05817941926073167,0.0,0.0
2018-12-27,0.008166253932665235,0.0,0.0
2018-12-28,-0.0014127481077824688,0.0,0.0
2018-12-31,0.009337855432325792,0.0,0.0
2019-01-02,0.0009344078138071588,0.0,0.0
2019-01-03,-0.031276464833478124,0.0,0.0
2019-01-04,0.04038175747807293,0.0,0.0
2019-01-07,0.009263730133514558,0.0,0.0
2019-01-08,0.011748437279943236,0.0,0.0
2019-01-09,0.006531678877724101,0.0,0.0
2019-01-10,0.004596889499510981,0.0,0.0
2019-01-11,-0.0027814720951127025,0.0,0.0
2019-01-14,-0.007286981789138447,0.0,0.0
2019-01-15,0.01459076533839343,0.0,0.0
2019-01-16,0.0006252852123476149,0.0,0.0
2019-01-17,0.0075881823474297505,-0.0009992504996873771,1.0
2019-01-18,0.011960687424176886,0.011960687424176815,1.0
2019-01-22,-0.016634634403610682,-0.016634634403610654,1.0
2019-01-23,0.00035586244092522534,0.0003558624409252436,1.0
2019-01-24,0.002225190286290646,0.002225190286290491,1.0
2019-01-25,0.011988392760305278,0.011988392760305302,1.0
2019-01-28,-0.010266944763291264,-0.010266944763291362,1.0
2019-01-29,-0.005585743774622731,-0.005585743774622618,1.0
2019-01-30,0.023716618406907086,0.02371661840690692,1.0
2019-01-31,0.014370191777091756,0.014370191777091722,1.0
2019-02-01,-0.0024899350110441087,-0.002489935011044045,1.0
2019-02-04,0.010500702667114226,0.010500702667114326,1.0
2019-02-05,0.00792188197711341,0.007921881977113392,1.0
2019-02-06,-0.004141169309696435,-0.004141169309696479,1.0
2019-02-07,-0.010777344529317334,-0.01077734452931731,1.0
2019-02-08,0.0023161417116082106,0.002316141711608137,1.0
2019-02-11,0.0004281104652998913,0.0004281104652998413,1.0
2019-02-12,0.01351711090668628,0.013517110906686424,1.0
2019-02-13,0.0031231829788336274,0.003123182978833687,1.0
2019-02-14,0.0,0.0,1.0
2019-02-15,0.006563088844032672,0.006563088844032526,1.0
2019-02-19,0.0010867853848495201,0.0010867853848494184,1.0
2019-02-20,0.0008352477202200337,0.0008352477202200587,1.0
2019-02-21,-0.0045057583330283535,-0.004505758333028275,1.0
2019-02-22,0.008046427592221406,0.00804642759222119,1.0
2019-02-25,0.0014962323528060484,0.0014962323528061089,1.0
2019-02-26,0.0005817391998934607,0.0005817391998934029,1.0
2019-02-27,0.0008294973801796779,0.0008294973801797914,1.0
2019-02-28,-0.0016580330581654756,-0.0016580330581654724,1.0
2019-03-01,0.008885403399615965,0.00888540339961603,1.0
2019-03-04,-0.0024691988209756266,-0.002469198820975598,1.0
2019-03-05,-0.000330063385826751,-0.00033006338582674427,1.0
2019-03-06,-0.005613094774199356,-0.005613094774199397,1.0
2019-03-07,-0.010707668105903623,-0.010707668105903685,1.0
2019-03-08,-0.0018462992283021507,-0.0018462992283021498,1.0
2019-03-11,0.017148871917296304,0.017148871917296426,1.0
2019-03-12,0.003801606518028633,0.003801606518028553,1.0
2019-03-13,0.006668761505401077,0.006668761505401004,1.0
2019-03-14,0.00016349245321278794,0.00016349245321279672,1.0
2019-03-15,0.006460116645230052,0.006460116645229999,1.0
2019-03-18,0.001137644539545235,0.0011376445395451247,1.0
2019-03-19,0.0019476732825201015,0.001947673282520081,1.0
