Date,BTC-USD_BnH,BTC-USD_Strategy,BTC-USD_Position
2021-01-01,,0.0,0.0
2021-01-02,0.09372577639540935,0.0,0.0
2021-01-03,0.020380066800975483,0.0,0.0
2021-01-04,-0.024712000360334718,0.0,0.0
2021-01-05,0.06319658000613337,0.0,0.0
2021-01-06,0.08331071417326141,0.0,0.0
2021-01-07,0.0691574669750421,0.0,0.0
2021-01-08,0.0362338992996023,0.0,0.0
2021-01-09,-0.013311135341493308,0.0,0.0
2021-01-10,-0.047152573214749416,0.0,0.0
2021-01-11,-0.07273315912449108,0.0,0.0
2021-01-12,-0.046214502171538774,0.0,0.0
2021-01-13,0.10003249550509552,0.0,0.0
2021-01-14,0.050138030111625875,-0.0009992504996874777,1.0
2021-01-15,-0.06027358971670127,-0.060273589716701284,1.0
2021-01-16,-0.017575563040677422,-0.017575563040677505,1.0
2021-01-17,-0.010693288117263444,-0.011682347502468193,0.0
2021-01-18,0.023435790428599335,0.0,0.0
2021-01-19,-0.015295342507474663,-0.0009992504996875423,1.0
2021-01-20,-0.014473454791977813,-0.015458734955549391,0.0
2021-01-21,-0.1328368400602007,0.0,0.0
2021-01-22,0.07072224005462169,0.0,0.0
2021-01-23,-0.02842289017956734,0.0,0.0
2021-01-24,0.006914643868341619,0.0,0.0
2021-01-25,0.0023851084933719235,0.0,0.0
2021-01-26,0.006286058316783416,0.0,0.0
2021-01-27,-0.06562212475675022,0.0,0.0
2021-01-28,0.09968113394222766,0.0,0.0
2021-01-29,0.02540747568580648,0.0,0.0
2021-01-30,-0.0013656239986477026,-0.0009992504996877275,1.0
2021-01-31,-0.03370820328466961,-0.033708203284669544,1.0
2021-02-01,0.012768370405776608,0.011755855227463488,0.0
2021-02-02,0.05883361479570781,-0.0009992504996875328,1.0
2021-02-03,0.055245981743407446,0.0552459817434075,1.0
2021-02-04,-0.014571470120209207,-0.014571470120209146,1.0
2021-02-05,0.032991388091470286,0.03299138809147036,1.0
2021-02-06,0.029406828078771152,0.029406828078771072,1.0
2021-02-07,-0.009233693380855112,-0.009233693380855007,1.0
2021-02-08,0.18746473766529936,0.18746473766529936,1.0
2021-02-09,0.006161523959955284,0.006161523959955267,1.0
2021-02-10,-0.03362488605290981,-0.03362488605290977,1.0
2021-02-11,0.0665910372634968,0.06659103726349692,1.0
2021-02-12,-0.008442623839676311,-0.008442623839676325,1.0
2021-02-13,-0.008406213773231364,-0.008406213773231369,1.0
2021-02-14,0.03421623595697554,0.03421623595697551,1.0
2021-02-15,-0.01585126109458379,-0.015851261094583825,1.0
2021-02-16,0.026171883752032166,0.026171883752032263,1.0
2021-02-17,0.05994196027730325,0.059941960277303176,1.0
2021-02-18,-0.008997504596578998,-0.008997504596578922,1.0
2021-02-19,0.08143096900475189,0.08143096900475182,1.0
2021-02-20,0.0037823185014820293,0.003782318501482085,1.0
2021-02-21,0.025676258785917394,0.02567625878591742,1.0
2021-02-22,-0.05791845963531039,-0.05791845963531056,1.0
2021-02-23,-0.09930198541853996,-0.09930198541853986,1.0
2021-02-24,0.018042326886684945,0.018042326886684907,1.0
2021-02-25,-0.052539242009451814,-0.052539242009451786,1.0
2021-02-26,-0.016012490351298148,-0.0169962318640695,0.0
2021-02-27,-0.003265200081699504,0.0,0.0
2021-02-28,-0.022747754528746222,0.0,0.0
2021-03-01,0.09955017057586457,0.0,0.0
2021-03-02,-0.025231161886280384,-0.0009992504996876074,1.0
2021-03-03,0.04463205996986197,0.04463205996986199,1.0
2021-03-04,-0.039120359814156846,-0.039120359814156805,1.0
2021-03-05,0.007539701660092213,0.007539701660092194,1.0
2021-03-06,-0.0003049805235605385,-0.00030498052356059125,1.0
2021-03-07,0.046906498146797926,0.04690649814679787,1.0
2021-03-08,0.020306565464276005,0.02030656546427615,1.0
2021-03-09,0.049335220420617,0.049335220420617054,1.0
2021-03-10,0.021604243798385436,0.021604243798385468,1.0
2021-03-11,0.032076714848716215,0.032076714848716235,1.0
2021-03-12,-0.008183206626845796,-0.00818320662684587,1.0
2021-03-13,0.06821652767950437,0.06821652767950433,1.0
2021-03-14,-0.031689610370558396,-0.031689610370558494,1.0
2021-03-15,-0.05725100456855314,-0.05725100456855298,1.0
2021-03-16,0.01605702194966918,0.016057021949669268,1.0
2021-03-17,0.036369962842253134,0.03636996284225292,1.0
2021-03-18,-0.017189693893861602,-0.01718969389386166,1.0
2021-03-19,0.008429650137686817,0.008429650137686805,1.0
2021-03-20,-0.0005657190459794625,-0.000565719045979335,1.0
2021-03-21,-0.013551247955811196,-0.013551247955811313,1.0
2021-03-22,-0.05205318540083803,-0.052053185400838045,1.0
