Date,UPRO_BnH,UPRO_Strategy,UPRO_Position
2018-06-08,0.007837684692706626,0.007837684692706522,1.0
2018-06-11,0.004187459355210477,0.004187459355210405,1.0
2018-06-12,0.004368401892974161,0.004368401892974182,1.0
2018-06-13,-0.011466843352850642,-0.011466843352850682,1.0
2018-06-14,0.008399882670549363,0.008399882670549445,1.0
2018-06-15,-0.004165035841514508,-0.004165035841514567,1.0
2018-06-18,-0.007170050121965588,-0.007170050121965685,1.0
2018-06-19,-0.011032979225020889,-0.011032979225020861,1.0
2018-06-20,0.004020249421151867,0.003016480176793034,0.0
2018-06-21,-0.018200379912890807,-0.0009992504996874743,1.0
2018-06-22,0.004737243938148339,0.003732757878521185,0.0
2018-06-25,-0.03977034911096844,0.0,0.0
2018-06-26,0.00533734352875892,0.0,0.0
2018-06-27,-0.02505822928117063,0.0,0.0
2018-06-28,0.017860969240174995,0.0,0.0
2018-06-29,0.003209961147862428,0.0,0.0
2018-07-02,0.005545970044538828,0.0,0.0
2018-07-03,-0.011455370931220732,0.0,0.0
2018-07-05,0.025107515328338437,-0.0009992504996874931,1.0
2018-07-06,0.024073476527612936,0.024073476527612818,1.0
2018-07-09,0.027596107714450868,0.02759610771445092,1.0
2018-07-10,0.010543232039932793,0.010543232039932847,1.0
2018-07-11,-0.021063037397732964,-0.021063037397732916,1.0
2018-07-12,0.02553801881285933,0.024512737178551156,0.0
2018-07-13,0.001960777372511213,-0.0009992504996875209,1.0
2018-07-16,-0.0021527520429120983,-0.0021527520429121226,1.0
2018-07-17,0.012551595087723522,0.012551595087723539,1.0
2018-07-18,0.0056168306922863565,0.005616830692286296,1.0
2018-07-19,-0.011556432004840356,-0.011556432004840429,1.0
2018-07-20,-0.0035072366511897934,-0.0035072366511897947,1.0
2018-07-23,0.005866072358084562,0.005866072358084578,1.0
2018-07-24,0.013608354491866814,0.013608354491866785,1.0
2018-07-25,0.027234426502859677,0.027234426502859597,1.0
2018-07-26,-0.009522034583387184,-0.009522034583387146,1.0
2018-07-27,-0.019415613684283795,-0.01941561368428378,1.0
2018-07-30,-0.01672454610631846,-0.016724546106318433,1.0
2018-07-31,0.014858523069050555,0.013843918260612263,0.0
2018-08-01,-0.004045641670302413,-0.0009992504996875157,1.0
2018-08-02,0.014700142089215884,0.0136856956221622,0.0
2018-08-03,0.013534342329664995,0.0,0.0
2018-08-06,0.010908291619100785,-0.0009992504996877045,1.0
2018-08-07,0.008930275538198806,0.00893027553819878,1.0
2018-08-08,-0.0022129373680723763,-0.0022129373680723663,1.0
2018-08-09,-0.0038808585831473508,-0.003880858583147427,1.0
2018-08-10,-0.02022289721118342,-0.020222897211183394,1.0
2018-08-13,-0.010603789306580236,-0.011592938168220749,0.0
2018-08-14,0.01875599067798106,0.0,0.0
2018-08-15,-0.021980346897052083,0.0,0.0
2018-08-16,0.02266623345657104,0.0,0.0
2018-08-17,0.009767285362636269,0.0,0.0
2018-08-20,0.00762634883334945,0.0,0.0
2018-08-21,0.005538249785086213,0.0,0.0
2018-08-22,-0.0005507967476033881,0.0,0.0
2018-08-23,-0.005694432796348292,0.0,0.0
2018-08-24,0.018104723046314497,0.0,0.0
2018-08-27,0.023226191024792397,0.0,0.0
2018-08-28,0.0014186862609484319,0.0,0.0
2018-08-29,0.016291850124726448,0.0,0.0
2018-08-30,-0.012894047107387396,0.0,0.0
2018-08-31,-0.00035339780659648934,0.0,0.0
2018-09-04,-0.004414641792551577,0.0,0.0
2018-09-05,-0.008158965475968394,0.0,0.0
2018-09-06,-0.009656548744858107,0.0,0.0
2018-09-07,-0.006500374687253507,0.0,0.0
2018-09-10,0.005634258203279341,0.0,0.0
2018-09-11,0.010482667347107899,0.0,0.0
2018-09-12,0.00017853531863454286,0.0,0.0
2018-09-13,0.016452020095126363,0.0,0.0
2018-09-14,0.001056085315769728,0.0,0.0
2018-09-17,-0.01669635374265166,0.0,0.0
2018-09-18,0.016086024077586192,0.0,0.0
2018-09-19,0.003342081211084258,0.0,0.0
2018-09-20,0.02331699405019383,0.0,0.0
2018-09-21,-0.0027414681127083673,0.0,0.0
2018-09-24,-0.009276657916398645,0.0,0.0
2018-09-25,-0.003988160810669328,0.0,0.0
2018-09-26,-0.009267884093894785,0.0,0.0
2018-09-27,0.008088672812437414,0.0,0.0
2018-09-28,-0.00104657580537737,0.0,0.0
2018-10-01,0.01134972462636119,0.0,0.0
2018-10-02,-0.0010357764796710134,0.0,0.0
2018-10-03,0.001382490331367947,0.0,0.0
2018-10-04,-0.023990193171410823,0.0,0.0
2018-10-05,-0.015915239347188415,0.0,0.0
2018-10-08,-0.0016172918819195026,0.0,0.0
2018-10-09,-0.003959575812310212,0.0,0.0
2018-10-10,-0.09631372179668074,0.0,0.0
2018-10-11,-0.06478700724299802,0.0,0.0
2018-10-12,0.0404103459689138,0.0,0.0
2018-10-15,-0.016851624119654796,0.0,0.0
2018-10-16,0.0627092368170643,0.0,0.0
2018-10-17,0.00216367052398736,0.0,0.0
2018-10-18,-0.04298325272629122,0.0,0.0
2018-10-19,-0.002871433833928627,0.0,0.0
2018-10-22,-0.012546139276148227,-0.0009992504996875597,1.0
2018-10-23,-0.017079855896597218,-0.018062530310664442,0.0
2018-10-24,-0.09154477063807065,0.0,0.0
2018-10-25,0.05551669639322432,0.0,0.0
2018-10-26,-0.054364721675899785,0.0,0.0
2018-10-29,-0.017293690656504768,0.0,0.0
2018-10-30,0.04637336719572516,0.0,0.0
2018-10-31,0.03113620286817409,0.0,0.0
2018-11-01,0.03129834693310718,0.0,0.0
2018-11-02,-0.019662440192596997,0.0,0.0
2018-11-05,0.01831259524653417,0.0,0.0
2018-11-06,0.01798361815499705,0.0,0.0
2018-11-07,0.06351149566933545,0.0,0.0
2018-11-08,-0.005932154207150209,0.0,0.0
2018-11-09,-0.02765036647399044,0.0,0.0
2018-11-12,-0.05810162039790179,0.0,0.0
2018-11-13,-0.004995599187571753,0.0,0.0
2018-11-14,-0.021829566955038904,0.0,0.0
2018-11-15,0.031912642467473384,0.0,0.0
2018-11-16,0.007136831570722979,0.0,0.0
2018-11-19,-0.04895836508025886,0.0,0.0
2018-11-20,-0.05689815683187416,0.0,0.0
2018-11-21,0.009576603178756526,0.0,0.0
2018-11-23,-0.020156839755277378,0.0,0.0
2018-11-26,0.04719285004980667,0.0,0.0
2018-11-27,0.009706432176868063,0.0,0.0
2018-11-28,0.06843667405434117,0.0,0.0
2018-11-29,-0.0064266703038428075,0.0,0.0
2018-11-30,0.02005202669315831,0.0,0.0
2018-12-03,0.03720117886064478,0.0,0.0
2018-12-04,-0.09496645800577297,-0.0009992504996875762,1.0
2018-12-06,-0.0063046661246209945,-0.007298113034662854,0.0
2018-12-07,-0.07002038026936985,0.0,0.0
2018-12-10,0.004629529674056165,0.0,0.0
