stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,STC,1.0,"STC(21,60,20)","{'stc_ema_short_period': 21, 'stc_ema_long_period': 60, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.3035935054752737,0.4554935621083491,30359.35054752737,-0.10781438448146685,0.1914899384578892,2.056112712456168,3.601878091002962,,,,,,0.023533285778503794,2.0,100.0,inf,0.14711899661671937,0.14711899661671937,0.0,inf,,,2.831460674157303,,,,,21.0,60.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,2.0,"STC(19,60,20)","{'stc_ema_short_period': 19, 'stc_ema_long_period': 60, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.29621967536956845,0.44385149069666774,29621.967536956843,-0.10781438448146685,0.19167383779055666,2.0123599784200645,3.5219484218648596,,,,,,0.02361918360367662,2.0,100.0,inf,0.14418473971859208,0.14418473971859208,0.0,inf,,,2.831460674157303,,,,,19.0,60.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,3.0,"STC(20,60,20)","{'stc_ema_short_period': 20, 'stc_ema_long_period': 60, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.29621967536956845,0.44385149069666774,29621.967536956843,-0.10781438448146685,0.19167383779055666,2.0123599784200645,3.5219484218648596,,,,,,0.02361918360367662,2.0,100.0,inf,0.14418473971859208,0.14418473971859208,0.0,inf,,,2.831460674157303,,,,,20.0,60.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,4.0,"STC(14,60,20)","{'stc_ema_short_period': 14, 'stc_ema_long_period': 60, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.29317991292624546,0.43906020301128423,29317.991292624545,-0.10781438448146685,0.1908356385290524,2.002909261871766,3.5282287320505676,,,,,,0.02041917353261916,2.0,100.0,inf,0.14446638407213966,0.14446638407213966,0.0,inf,,,2.831460674157303,,,,,14.0,60.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,STC,5.0,"STC(15,60,20)","{'stc_ema_short_period': 15, 'stc_ema_long_period': 60, 'stc_cycle_period': 20}","Schaff Trend Cycle: buy on cross above 50, sell on cross below 50",0.29317991292624546,0.43906020301128423,29317.991292624545,-0.10781438448146685,0.1908356385290524,2.002909261871766,3.5282287320505676,,,,,,0.02041917353261916,2.0,100.0,inf,0.14446638407213966,0.14446638407213966,0.0,inf,,,2.831460674157303,,,,,15.0,60.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,1.0,"KAMA(25,2,60)","{'kama_period': 25, 'kama_fast_ema_constant': 2, 'kama_slow_ema_constant': 60}","Price crossing KAMA line: buy on cross above, sell on cross below",0.18568503823075458,0.27268415808395874,18568.503823075458,-0.12828600267889556,0.17072852535111674,1.4973298589696051,2.5009655785714267,,,,,,0.05932988482580968,5.0,60.0,3.188774589786293,0.04111443865001783,0.09983110934332212,0.046960567389938646,2.1258497265241956,,,7.078651685393258,,,,,,,,25.0,2.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,2.0,"KAMA(25,2,61)","{'kama_period': 25, 'kama_fast_ema_constant': 2, 'kama_slow_ema_constant': 61}","Price crossing KAMA line: buy on cross above, sell on cross below",0.18568503823075458,0.27268415808395874,18568.503823075458,-0.12828600267889556,0.17072852535111674,1.4973298589696051,2.5009655785714267,,,,,,0.05932988482580968,5.0,60.0,3.188774589786293,0.04111443865001783,0.09983110934332212,0.046960567389938646,2.1258497265241956,,,7.078651685393258,,,,,,,,25.0,2.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,3.0,"KAMA(25,2,62)","{'kama_period': 25, 'kama_fast_ema_constant': 2, 'kama_slow_ema_constant': 62}","Price crossing KAMA line: buy on cross above, sell on cross below",0.18568503823075458,0.27268415808395874,18568.503823075458,-0.12828600267889556,0.17072852535111674,1.4973298589696051,2.5009655785714267,,,,,,0.05932988482580968,5.0,60.0,3.188774589786293,0.04111443865001783,0.09983110934332212,0.046960567389938646,2.1258497265241956,,,7.078651685393258,,,,,,,,25.0,2.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,4.0,"KAMA(25,2,63)","{'kama_period': 25, 'kama_fast_ema_constant': 2, 'kama_slow_ema_constant': 63}","Price crossing KAMA line: buy on cross above, sell on cross below",0.18568503823075458,0.27268415808395874,18568.503823075458,-0.12828600267889556,0.17072852535111674,1.4973298589696051,2.5009655785714267,,,,,,0.05932988482580968,5.0,60.0,3.188774589786293,0.04111443865001783,0.09983110934332212,0.046960567389938646,2.1258497265241956,,,7.078651685393258,,,,,,,,25.0,2.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KAMA,5.0,"KAMA(25,2,64)","{'kama_period': 25, 'kama_fast_ema_constant': 2, 'kama_slow_ema_constant': 64}","Price crossing KAMA line: buy on cross above, sell on cross below",0.18568503823075458,0.27268415808395874,18568.503823075458,-0.12828600267889556,0.17072852535111674,1.4973298589696051,2.5009655785714267,,,,,,0.05932988482580968,5.0,60.0,3.188774589786293,0.04111443865001783,0.09983110934332212,0.046960567389938646,2.1258497265241956,,,7.078651685393258,,,,,,,,25.0,2.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,1.0,"SUPERTREND(ATR=4,Factor=2)","{'supertrend_atr_length': 4, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.25689877297839264,0.38223679733418425,25689.877297839263,-0.07058646927109857,0.17709419608427568,1.9162711050813122,3.4231689187493823,,,,,,0.0258094240974687,3.0,66.66666666666666,100.38742925305625,0.08556911332849698,0.12964511772368473,0.0025828954618785146,50.19371462652813,,,4.247191011235955,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
